date,long_name,player,notes,injury,team
2016-01-19,Wild,Ryan Carter,placed on IR with hand injury,la,MIN
2016-02-02,Wild,Ryan Carter,activated from IR,activated from IR,MIN
2016-02-05,Wild,Jonas Brodin,placed on IR with fractured foot,ll,MIN
2016-02-22,Wild,Jason Zucker,placed on IR with concussion (CBS Y),head,MIN
2016-02-24,Wild,Jason Zucker,placed on IR with concussion (CBC E),head,MIN
2016-02-29,Wild,Jonas Brodin,activated from IR,activated from IR,MIN
2016-03-04,Wild,Jason Zucker,activated from IR,activated from IR,MIN
2016-10-11,Wild,Victor Bartley,placed on IR with torn triceps,ua,MIN
2016-10-30,Wild,Zac Dalpe,placed on IR with lower body injury,torso,MIN
2016-11-01,Wild,Zac Dalpe,placed on IR with lower body injury,torso,MIN
2016-11-09,Wild,Marco Scandella,placed on IR with lower body injury,torso,MIN
2016-11-23,Wild,Marco Scandella,activated from IR,activated from IR,MIN
2016-12-17,Wild,Zac Dalpe,activated from IR,activated from IR,MIN
2017-02-13,Wild,Jonas Brodin,placed on IR with fractured finger,la,MIN
2017-02-18,Wild,Jonas Brodin,activated from IR,activated from IR,MIN
2007-03-01,Wild,Niklas Backstrom,lower body injury (DTD),torso,MIN
2007-03-04,Wild,Mark Parrish,upper body injury (DTD),torso,MIN
2007-03-06,Wild,Derek Boogaard,back injury (DTD),torso,MIN
2007-03-08,Wild,Wes Walz,upper body injury (DTD),torso,MIN
2007-03-31,Wild,Mark Parrish,stomach virus (DTD),torso,MIN
2007-04-05,Wild,Pavol Demitra,leg injury (DTD),ll,MIN
2007-04-19,Wild,Kim Johnsson,head injury (DTD),head,MIN
2007-10-03,Wild,Kurtis Foster,groin injury (DTD),ul,MIN
2007-10-06,Wild,Wes Walz,right knee injury (DTD),ul,MIN
2007-10-10,Wild,Dominic Moore,abdominal strain (DTD),torso,MIN
2007-10-27,Wild,Marian Gaborik,groin injury (DTD),ul,MIN
2007-10-27,Wild,Niklas Backstrom,groin injury (DTD),ul,MIN
2007-10-31,Wild,Kim Johnsson,leg injury (DTD),ll,MIN
2007-11-05,Wild,Marian Gaborik,groin injury (DTD),ul,MIN
2007-11-05,Wild,Pavol Demitra,groin injury (DTD),ul,MIN
2007-11-11,Wild,Stephane Veilleux,facial injury (DTD),torso,MIN
2007-11-22,Wild,Josh Harding,head injury (out indefinitely),head,MIN
2007-11-24,Wild,Derek Boogaard,back spasms (DTD),torso,MIN
2007-11-28,Wild,Kurtis Foster,cheekbone injury (DTD),head,MIN
2007-11-30,Wild,Mark Parrish,hip injury (DTD),ul,MIN
2007-12-15,Wild,Derek Boogaard,back injury (DTD),torso,MIN
2007-12-18,Wild,Todd Fedoruk,shoulder injury (DTD),torso,MIN
2008-01-11,Wild,Branko Radivojevic,sore neck (DTD),head,MIN
2008-01-13,Wild,Sean Hill,sprained ankle (DTD),ll,MIN
2008-01-16,Wild,Mark Parrish,back injury (DTD),torso,MIN
2008-01-24,Wild,Derek Boogaard,back injury (DTD),torso,MIN
2008-02-05,Wild,Mark Parrish,head injury (DTD),head,MIN
2008-02-24,Wild,Matt Foy,left eye injury (DTD),head,MIN
2008-03-04,Wild,Kurtis Foster,sore back (DTD),torso,MIN
2008-03-04,Wild,Petteri Nummelin,right thigh injury (DTD),ul,MIN
2008-03-09,Wild,Eric Belanger,leg injury (DTD),ll,MIN
2008-03-15,Wild,Steve Kelly,ankle injury (DTD),ll,MIN
2008-03-19,Wild,Kurtis Foster,right leg injury (out indefinitely),ll,MIN
2008-04-09,Wild,Mark Parrish,left knee injury (out indefinitely),ul,MIN
2008-04-14,Wild,Branko Radivojevic,right knee injury (DTD),ul,MIN
2008-10-11,Wild,Marek Zidlicky,sprained right ankle (DTD),ll,MIN
2008-10-16,Wild,Owen Nolan,lower body injury (DTD),torso,MIN
2008-10-16,Wild,Pierre-Marc Bouchard,back injury (DTD),torso,MIN
2008-10-30,Wild,Owen Nolan,lower body injury (DTD),torso,MIN
2008-11-01,Wild,Brent Burns,upper body injury (DTD),torso,MIN
2008-11-01,Wild,Tomas Mojzis,upper body injury (left game),torso,MIN
2008-11-06,Wild,Tomas Mojzis,upper body injury (DTD),torso,MIN
2008-11-18,Wild,Josh Harding,lower body injury (DTD),torso,MIN
2008-12-05,Wild,Owen Nolan,leg injury (DTD),ll,MIN
2008-12-24,Wild,Marian Gaborik,groin injury (DTD),ul,MIN
2008-12-28,Wild,Marian Gaborik,lower body injury (DTD),torso,MIN
2009-01-10,Wild,Derek Boogaard,upper body injury (DTD),torso,MIN
2009-01-17,Wild,Craig Weller,head injury (DTD),head,MIN
2009-01-18,Wild,Andrew Brunette,right knee injury (DTD),ul,MIN
2009-02-04,Wild,Owen Nolan,upper body injury (DTD),torso,MIN
2009-02-20,Wild,Andrew Brunette,lower body injury (DTD),torso,MIN
2009-02-23,Wild,Owen Nolan,fractured toe (DTD),ll,MIN
2009-03-22,Wild,Marek Zidlicky,lower body injury (DTD),torso,MIN
2009-03-23,Wild,Mikko Koivu,knee injury (DTD),ul,MIN
2009-03-24,Wild,Derek Boogaard,upper body injury (DTD),torso,MIN
2009-04-05,Wild,Nick Schultz,eye injury (DTD),head,MIN
2009-04-21,Wild,Derek Boogaard,surgery on right shoulder,torso,MIN
2009-04-21,Wild,Niklas Backstrom,surgery on left hip (out for season),ul,MIN
2009-04-30,Wild,Marc-Andre Bergeron,surgery on back (out indefinitely),torso,MIN
2009-10-13,Wild,Petr Sykora,sore groin (DTD),ul,MIN
2009-10-14,Wild,Martin Havlat,groin injury (DTD),ul,MIN
2009-10-27,Wild,Josh Harding,lower body soreness (DTD),torso,MIN
2009-11-07,Wild,Petr Sykora,concussion (out indefinitely),head,MIN
2009-11-13,Wild,Chuck Kobasew,upper body injury (DTD),torso,MIN
2009-11-15,Wild,Benoit Pouliot,upper body injury (DTD),torso,MIN
2009-11-20,Wild,Martin Havlat,hamstring injury (DTD),ul,MIN
2009-12-08,Wild,Andrew Ebbett,head injury / concussion (DTD),head,MIN
2009-12-12,Wild,Owen Nolan,leg injury (DTD),ll,MIN
2009-12-26,Wild,Derek Boogaard,lower body injury (DTD),torso,MIN
2009-12-26,Wild,Chuck Kobasew,knee injury (out indefinitely),ul,MIN
2009-12-29,Wild,Clayton Stoner,strained groin (out indefinitely),ul,MIN
2010-01-05,Wild,Owen Nolan,leg injury (DTD),ll,MIN
2010-01-09,Wild,Clayton Stoner,groin injury (out for season),ul,MIN
2010-01-28,Wild,Niklas Backstrom,sore back (DTD),torso,MIN
2010-01-28,Wild,Derek Boogaard,hamstring injury (DTD),ul,MIN
2010-02-02,Wild,Derek Boogaard,hamstring injury (DTD),ul,MIN
2010-02-06,Wild,Josh Harding,hip injury (DTD),ul,MIN
2010-02-14,Wild,Anton Khudobin,hip injury (DTD),ul,MIN
2010-03-10,Wild,Brent Burns,hip injury (DTD),ul,MIN
2010-03-10,Wild,Shane Hnidy,leg injury (DTD),ll,MIN
2010-03-11,Wild,Niklas Backstrom,groin injury (DTD),ul,MIN
2010-03-14,Wild,Derek Boogaard,facial laceration (DTD),torso,MIN
2010-03-14,Wild,Owen Nolan,lower body injury (DTD),torso,MIN
2010-03-19,Wild,Greg Zanon,ankle injury (DTD),ll,MIN
2010-03-21,Wild,Justin Falk,upper body injury (DTD),torso,MIN
2010-03-25,Wild,Mikko Koivu,arm injury (DTD),ua,MIN
2010-03-26,Wild,Cam Barker,sprained ankle (DTD),ll,MIN
2010-03-26,Wild,Josh Harding,hip injury (out for season),ul,MIN
2010-03-26,Wild,Chuck Kobasew,knee injury (DTD),ul,MIN
2010-03-29,Wild,Andrew Ebbett,broken finger (out for season),la,MIN
2010-04-05,Wild,Marek Zidlicky,arm injury (out for season),ua,MIN
2010-04-05,Wild,Nick Schultz,leg injury (DTD),ll,MIN
2010-04-05,Wild,Owen Nolan,leg injury (out for season),ll,MIN
2010-04-07,Wild,Martin Havlat,pulled groin (DTD),ul,MIN
2010-04-08,Wild,Guillaume Latendresse,back spasms (out for season),torso,MIN
2010-04-08,Wild,Martin Havlat,hamstring injury (out for season),ul,MIN
2010-09-16,Wild,James Sheppard,surgery on knee (out indefinitely),ul,MIN
2010-09-17,Wild,Pierre-Marc Bouchard,concussion (out indefinitely),head,MIN
2010-09-25,Wild,Josh Harding,torn ACL and MCL in right knee (out indefinitely),ul,MIN
2010-10-07,Wild,Marek Zidlicky,groin injury (DTD),ul,MIN
2010-10-22,Wild,Cam Barker,groin injury (DTD),ul,MIN
2010-10-27,Wild,Guillaume Latendresse,groin injury (DTD),ul,MIN
2010-10-28,Wild,Antti Miettinen,head injury (Y) / illness (CBC) (DTD),head,MIN
2010-11-05,Wild,Chuck Kobasew,groin injury (DTD),ul,MIN
2010-11-06,Wild,Marek Zidlicky,lower body injury (DTD),torso,MIN
2010-11-27,Wild,Clayton Stoner,upper body injury (DTD),torso,MIN
2010-12-03,Wild,Chuck Kobasew,groin injury (DTD),ul,MIN
2010-12-10,Wild,Matt Cullen,groin injury (DTD),ul,MIN
2010-12-11,Wild,John Madden,upper body injury (DTD),torso,MIN
2010-12-20,Wild,Nick Schultz,head injury (DTD),head,MIN
2011-01-04,Wild,Antti Miettinen,bruised leg (DTD),ll,MIN
2011-01-08,Wild,Niklas Backstrom,hip injury (DTD),ul,MIN
2011-01-14,Wild,Jose Theodore,hip injury (DTD),ul,MIN
2011-01-16,Wild,Marco Scandella,concussion (DTD),head,MIN
2011-02-05,Wild,Matt Cullen,upper body injury (DTD),torso,MIN
2011-02-19,Wild,Mikko Koivu,left hand injury (DTD),la,MIN
2011-02-23,Wild,Cam Barker,upper body injury (DTD),torso,MIN
2011-02-25,Wild,Cody Almond,lower body injury (DTD),torso,MIN
2011-03-06,Wild,Cal Clutterbuck,upper body injury (DTD),torso,MIN
2011-03-08,Wild,Clayton Stoner,lower body injury (DTD),torso,MIN
2011-03-10,Wild,Cam Barker,upper body injury (out indefinitely),torso,MIN
2011-03-14,Wild,Guillaume Latendresse,lower body injury (out indefinitely),torso,MIN
2011-03-17,Wild,Marek Zidlicky,hamstring injury (DTD),ul,MIN
2011-03-20,Wild,Marco Scandella,finger injury (out for season),la,MIN
2011-03-29,Wild,Chuck Kobasew,sore leg (DTD),ll,MIN
2011-04-01,Wild,Marek Zidlicky,hamstring injury (out for season),ul,MIN
2011-04-01,Wild,Nick Schultz,post-concussion symptoms (DTD) / out for season (CBC),head,MIN
2011-04-02,Wild,John Madden,lower body injury (DTD),torso,MIN
2011-04-07,Wild,Cal Clutterbuck,upper body injury (DTD),torso,MIN
2011-04-08,Wild,Martin Havlat,upper body injury (out for season),torso,MIN
2011-10-21,Wild,Greg Zanon,groin injury (DTD),ul,MIN
2011-10-22,Wild,Dany Heatley,groin injury (DTD),ul,MIN
2011-10-22,Wild,Guillaume Latendresse,groin / hip injury (DTD),ul,MIN
2011-10-29,Wild,Clayton Stoner,finger/hand injury (DTD),la,MIN
2011-11-11,Wild,Guillaume Latendresse,concussion (out indefinitely),head,MIN
2011-11-13,Wild,Marco Scandella,concussion (DTD),head,MIN
2011-11-17,Wild,Marek Zidlicky,concussion (DTD),head,MIN
2011-11-28,Wild,Justin Falk,back spasms (DTD),torso,MIN
2011-12-01,Wild,Cal Clutterbuck,thigh injury (DTD),ul,MIN
2011-12-03,Wild,Niklas Backstrom,groin injury (DTD),ul,MIN
2011-12-07,Wild,Josh Harding,head injury (DTD),head,MIN
2011-12-08,Wild,Cal Clutterbuck,leg injury (DTD),ll,MIN
2011-12-14,Wild,Pierre-Marc Bouchard,broken nose (DTD),head,MIN
2011-12-17,Wild,Mikko Koivu,leg injury (DTD),ll,MIN
2011-12-17,Wild,Casey Wellman,wrist injury (DTD),la,MIN
2011-12-26,Wild,Clayton Stoner,groin injury (DTD),ul,MIN
2011-12-26,Wild,Greg Zanon,upper body injury (DTD),torso,MIN
2011-12-27,Wild,Jared Spurgeon,lower body injury (DTD),torso,MIN
2012-01-07,Wild,Pierre-Marc Bouchard,lower body injury (DTD),torso,MIN
2012-01-10,Wild,Devin Setoguchi,knee injury (DTD),ul,MIN
2012-02-04,Wild,Clayton Stoner,lower body injury (DTD),torso,MIN
2012-03-01,Wild,Niklas Backstrom,right leg injury (out indefinitely),ll,MIN
2012-03-04,Wild,Nick Palmieri,upper body injury (DTD),torso,MIN
2012-03-05,Wild,Justin Falk,leg injury (DTD),ll,MIN
2012-03-14,Wild,Matt Cullen,lower body injury (DTD),torso,MIN
2012-03-22,Wild,Matt Kassian,strained groin (out for season),ul,MIN
2012-03-23,Wild,Jared Spurgeon,concussion (out for season),head,MIN
2012-03-24,Wild,Matt Cullen,broken finger (out for season),la,MIN
2012-03-24,Wild,Niklas Backstrom,lower body injury (DTD),torso,MIN
2012-03-31,Wild,Marco Scandella,upper body injury (DTD),torso,MIN
2012-03-31,Wild,Steven Kampfer,knee injury (out for season),ul,MIN
2012-04-04,Wild,Clayton Stoner,upper body injury (DTD),torso,MIN
2013-02-22,Wild,Cal Clutterbuck,thigh injury (DTD),ul,MIN
2013-03-13,Wild,Jason Zucker,head injury (DTD),head,MIN
2013-03-17,Wild,Michael Rupp,lower body injury (DTD),torso,MIN
2013-04-02,Wild,Matt Cullen,lower body injury (DTD),torso,MIN
2013-04-04,Wild,Dany Heatley,wrist injury (Y) / lower body injury (CBC) (DTD),la,MIN
2013-04-09,Wild,Dany Heatley,surgery on shoulder (out for season),torso,MIN
2013-04-13,Wild,Zenon Konopka,fractured foot (DTD),ll,MIN
2013-04-24,Wild,Jason Pominville,concussion (DTD),head,MIN
2013-04-30,Wild,Niklas Backstrom,left leg injury (out for season),ll,MIN
2013-05-02,Wild,Clayton Stoner,upper body injury (out for season),torso,MIN
2013-10-09,Wild,Niklas Backstrom,strained knee (DTD),ul,MIN
2013-10-15,Wild,Keith Ballard,head injury / concussion (DTD),head,MIN
2013-10-24,Wild,Jonas Brodin,cheekbone injury (DTD),head,MIN
2013-10-25,Wild,Josh Harding,lower body injury (DTD),torso,MIN
2013-11-06,Wild,Keith Ballard,upper body injury (DTD),torso,MIN
2013-11-09,Wild,Clayton Stoner,leg injury (DTD),ll,MIN
2013-11-14,Wild,Niklas Backstrom,concussion (out indefinitely),head,MIN
2013-11-20,Wild,Torrey Mitchell,left leg injury (DTD),ll,MIN
2013-11-23,Wild,Josh Harding,hamstring injury (DTD),ul,MIN
2013-11-23,Wild,Mikael Granlund,upper body injury (DTD),torso,MIN
2013-11-26,Wild,Zach Parise,bruised foot (DTD),ll,MIN
2013-11-30,Wild,Zenon Konopka,facial injury (DTD),torso,MIN
2013-12-23,Wild,Clayton Stoner,lower body injury (DTD),torso,MIN
2013-12-23,Wild,Zach Parise,lower body injury (DTD),torso,MIN
2014-01-04,Wild,Justin Fontaine,upper body injury (DTD),torso,MIN
2014-01-21,Wild,Niklas Backstrom,lower body injury (DTD),torso,MIN
2014-02-05,Wild,Marco Scandella,sprained knee (DTD),ul,MIN
2014-02-06,Wild,Niklas Backstrom,strained abdominal muscle (DTD),torso,MIN
2014-03-05,Wild,Niklas Backstrom,strained abdominal muscle (out for season),torso,MIN
2014-03-18,Wild,Keith Ballard,groin injury (DTD),ul,MIN
2014-03-23,Wild,Clayton Stoner,knee injury (DTD),ul,MIN
2014-03-29,Wild,Cody McCormick,facial injury (DTD),torso,MIN
2014-03-31,Wild,Darcy Kuemper,upper body injury (DTD),torso,MIN
2014-04-01,Wild,Mikael Granlund,upper body injury (DTD),torso,MIN
2014-04-03,Wild,Nino Niederreiter,upper body injury (DTD),torso,MIN
2014-05-01,Wild,Darcy Kuemper,upper body injury (out for season),torso,MIN
2014-05-09,Wild,Matt Moulson,lower body injury (out for season),torso,MIN
2014-05-11,Wild,Keith Ballard,upper body injury (out for season),torso,MIN
2014-10-28,Wild,Erik Haula,head injury (DTD),head,MIN
2014-10-28,Wild,Jonas Brodin,upper body injury (DTD),torso,MIN
2014-10-30,Wild,Matt Cooke,lower body injury (DTD),torso,MIN
2014-11-05,Wild,Zach Parise,upper body injury (DTD),torso,MIN
2014-12-10,Wild,Keith Ballard,concussion / facial fractures (out for season),head,MIN
2014-12-29,Wild,Jonas Brodin,upper body injury (DTD),torso,MIN
2015-01-07,Wild,Marco Scandella,upper body injury (DTD),torso,MIN
2015-02-09,Wild,Justin Fontaine,lower body injury (DTD),torso,MIN
2015-02-19,Wild,Jared Spurgeon,upper body injury (DTD),torso,MIN
2015-03-03,Wild,Marco Scandella,oblique injury (DTD),torso,MIN
2015-03-05,Wild,Nino Niederreiter,lower body injury (DTD),torso,MIN
2015-03-17,Wild,Nate Prosser,lower body injury (DTD),torso,MIN
2015-03-24,Wild,Kyle Brodziak,upper body injury (DTD),torso,MIN
2015-04-04,Wild,Mikko Koivu,eye injury (DTD),head,MIN
2015-05-02,Wild,Justin Fontaine,leg injury (out for season),ll,MIN
2015-05-05,Wild,Chris Stewart,arm injury (out for season),ua,MIN
2015-10-27,Wild,Christian Folin,lower body injury (DTD),torso,MIN
2015-10-31,Wild,Justin Fontaine,left knee injury (DTD),ul,MIN
2015-11-06,Wild,Zach Parise,lower body injury (DTD),torso,MIN
2015-11-07,Wild,Nate Prosser,back injury (DTD),torso,MIN
2015-11-28,Wild,Ryan Carter,upper body injury (DTD),torso,MIN
2015-12-06,Wild,Devan Dubnyk,strained groin (DTD),ul,MIN
2015-12-26,Wild,Ryan Carter,upper body injury (DTD),torso,MIN
2015-12-28,Wild,Darcy Kuemper,upper body injury (DTD),torso,MIN
2015-12-30,Wild,Zach Parise,lower body injury (DTD),torso,MIN
2016-01-05,Wild,Nate Prosser,hand injury (DTD),la,MIN
2016-01-05,Wild,Ryan Carter,hand injury (DTD),la,MIN
2016-01-12,Wild,Ryan Carter,hand injury (DTD),la,MIN
2016-02-07,Wild,Jared Spurgeon,bone bruise / strained oblique muscle (CBC) (DTD),torso,MIN
2016-02-17,Wild,Marco Scandella,upper body injury (DTD),torso,MIN
2016-02-24,Wild,Zach Parise,upper body injury (DTD),torso,MIN
2016-03-09,Wild,Jason Pominville,lower body injury (DTD),torso,MIN
2016-03-18,Wild,Darcy Kuemper,upper body injury (DTD),torso,MIN
2016-03-19,Wild,Ryan Carter,upper body injury (DTD),torso,MIN
2016-03-31,Wild,Thomas Vanek,upper body injury (DTD),torso,MIN
2016-04-01,Wild,Jared Spurgeon,lower body injury (DTD),torso,MIN
2016-04-03,Wild,Thomas Vanek,upper body injury (out for season),torso,MIN
2016-04-10,Wild,Erik Haula,lower body injury (DTD),torso,MIN
2016-10-03,Wild,Victor Bartley,torn triceps (DTD),ua,MIN
2016-10-21,Wild,Erik Haula,lower body injury (DTD),torso,MIN
2016-10-21,Wild,Jared Spurgeon,upper body injury (DTD),torso,MIN
2016-10-28,Wild,Marco Scandella,lower body injury (DTD),torso,MIN
2016-10-29,Wild,Zach Parise,lower body injury (DTD),torso,MIN
2016-11-26,Wild,Christian Folin,sprained MCL in left knee (DTD),ul,MIN
2016-12-18,Wild,Erik Haula,lower body injury (DTD),torso,MIN
2017-01-18,Wild,Jonas Brodin,fractured finger (DTD),la,MIN
2017-02-12,Wild,Matt Dumba,knee injury (DTD),ul,MIN
2017-03-06,Wild,Christian Folin,upper body injury (DTD),torso,MIN
2017-03-10,Wild,Gustav Olofsson,upper body injury (DTD),torso,MIN
2007-10-25,Canucks,Rick Rypien,placed on IR with broken finger,la,VAN
2007-12-04,Canucks,Rick Rypien,activated from IR,activated from IR,VAN
2008-02-21,Canucks,Kevin Bieksa,activated from IR,activated from IR,VAN
2008-10-07,Canucks,Lawrence Nycholat,placed on IR with back injury,torso,VAN
2008-10-16,Canucks,Lawrence Nycholat,activated from IR,activated from IR,VAN
2008-10-19,Canucks,Rick Rypien,placed on IR with sports hernia,torso,VAN
2008-10-21,Canucks,Pavol Demitra,placed on IR with bruised ribs,torso,VAN
2008-11-13,Canucks,Kevin Bieksa,placed on IR with broken foot,ll,VAN
2008-11-15,Canucks,Pavol Demitra,activated from IR,activated from IR,VAN
2008-11-23,Canucks,Roberto Luongo,placed on IR with strained groin,ul,VAN
2008-11-25,Canucks,Ryan Johnson,placed on IR with broken finger,la,VAN
2008-11-27,Canucks,Kevin Bieksa,activated from IR,activated from IR,VAN
2009-01-09,Canucks,Ryan Johnson,activated from IR,activated from IR,VAN
2009-01-15,Canucks,Roberto Luongo,activated from IR,activated from IR,VAN
2009-01-19,Canucks,Pavol Demitra,placed on IR with strained groin,ul,VAN
2009-02-03,Canucks,Pavol Demitra,activated from IR,activated from IR,VAN
2009-02-22,Canucks,Jannik Hansen,placed on IR with broken pinky finger,la,VAN
2009-03-26,Canucks,Jannik Hansen,activated from IR,activated from IR,VAN
2009-03-31,Canucks,Rick Rypien,activated from IR,activated from IR,VAN
2009-09-14,Canucks,Pavol Demitra,placed on IR with torn rotator cuff in left shoulder,la,VAN
2009-09-29,Canucks,Mathieu Schneider,placed on IR recovering from surgery on shoulder,torso,VAN
2009-09-30,Canucks,Jannik Hansen,placed on IR with right hand injury,la,VAN
2009-10-10,Canucks,Daniel Sedin,placed on IR with fractured left foot,ll,VAN
2009-10-13,Canucks,Sami Salo,placed on IR with sprained MCL in right knee,ul,VAN
2009-10-25,Canucks,Mathieu Schneider,activated from IR,activated from IR,VAN
2009-10-28,Canucks,Roberto Luongo,placed on IR with fractured rib,torso,VAN
2009-10-28,Canucks,Ryan Johnson,placed on IR with neck injury,head,VAN
2009-10-29,Canucks,Sami Salo,activated from IR,activated from IR,VAN
2009-10-30,Canucks,Alexandre Bolduc,placed on IR with shoulder injury,torso,VAN
2009-11-01,Canucks,Michael Grabner,placed on IR with fractured ankle,ll,VAN
2009-11-05,Canucks,Ryan Johnson,activated from IR,activated from IR,VAN
2009-11-10,Canucks,Roberto Luongo,activated from IR,activated from IR,VAN
2009-11-12,Canucks,Jannik Hansen,activated from IR,activated from IR,VAN
2009-11-22,Canucks,Daniel Sedin,activated from IR,activated from IR,VAN
2009-11-30,Canucks,Alexandre Bolduc,activated from IR,activated from IR,VAN
2009-12-19,Canucks,Michael Grabner,activated from IR,activated from IR,VAN
2010-01-14,Canucks,Alexandre Bolduc,placed on IR with shoulder injury,torso,VAN
2010-01-16,Canucks,Pavol Demitra,activated from IR,activated from IR,VAN
2010-01-21,Canucks,Ryan Johnson,activated from IR,activated from IR,VAN
2010-04-06,Canucks,Steve Bernier,activated from IR,activated from IR,VAN
2010-10-09,Canucks,Rick Rypien,placed on IR with upper body injury,torso,VAN
2010-10-11,Canucks,Alexandre Bolduc,placed on IR with high ankle sprain,ll,VAN
2010-10-13,Canucks,Rick Rypien,activated from IR,activated from IR,VAN
2010-11-02,Canucks,Alexandre Burrows,activated from IR,activated from IR,VAN
2010-11-05,Canucks,Guillaume Desbiens,placed on IR with broken right hand,la,VAN
2010-12-05,Canucks,Alexandre Bolduc,activated from IR,activated from IR,VAN
2011-01-15,Canucks,Aaron Rome,placed on IR with sprained MCL in knee,ul,VAN
2011-01-15,Canucks,Alexandre Bolduc,placed on IR with shoulder injury,torso,VAN
2011-01-26,Canucks,Alexander Edler,placed on IR with surgery on back,torso,VAN
2011-02-03,Canucks,Lee Sweatt,placed on IR with foot injury,ll,VAN
2011-02-04,Canucks,Aaron Rome,activated from IR,activated from IR,VAN
2011-02-07,Canucks,Lee Sweatt,placed on IR with foot injury (out for season),ll,VAN
2011-02-08,Canucks,Keith Ballard,placed on IR with sprained right knee,ul,VAN
2011-02-15,Canucks,Andrew Alberts,"placed on IR with broken wrist (surgery, out for season)",la,VAN
2011-02-22,Canucks,Keith Ballard,activated from IR,activated from IR,VAN
2011-03-08,Canucks,Kevin Bieksa,placed on IR with fractured left foot,ll,VAN
2011-03-10,Canucks,Chris Higgins,activated from IR,activated from IR,VAN
2011-03-17,Canucks,Manny Malhotra,placed on IR with left eye injury,head,VAN
2011-03-21,Canucks,Alexandre Bolduc,activated from IR,activated from IR,VAN
2011-03-23,Canucks,Kevin Bieksa,activated from IR,activated from IR,VAN
2011-04-07,Canucks,Alexander Edler,activated from IR,activated from IR,VAN
2011-06-04,Canucks,Manny Malhotra,activated from IR,activated from IR,VAN
2011-10-05,Canucks,Aaron Rome,placed on IR with broken hand,la,VAN
2011-10-05,Canucks,Byron Bitz,placed on IR with sports hernia,torso,VAN
2011-10-05,Canucks,Mason Raymond,placed on IR with fractured vertebrae,torso,VAN
2011-10-05,Canucks,Nolan Baumgartner,placed on IR with broken foot,ll,VAN
2011-10-05,Canucks,Ryan Kesler,placed on IR with surgery on left hip,ul,VAN
2011-10-05,Canucks,Steven Pinizzotto,placed on IR with shoulder injury (out for season),torso,VAN
2011-10-18,Canucks,Ryan Kesler,activated from IR,activated from IR,VAN
2011-11-06,Canucks,Aaron Rome,activated from IR,activated from IR,VAN
2011-11-25,Canucks,Aaron Rome,placed on IR with thumb inijury,la,VAN
2011-12-01,Canucks,Aaron Rome,activated from IR,activated from IR,VAN
2011-12-01,Canucks,Mason Raymond,activated from IR,activated from IR,VAN
2011-12-06,Canucks,Aaron Volpatti,placed on IR with surgery on shoulder to repair torn labrum (out for season),torso,VAN
2011-12-08,Canucks,David Booth,placed on IR with sprained MCL in right knee,ul,VAN
2011-12-21,Canucks,Aaron Rome,placed on IR with broken thumb,la,VAN
2012-01-03,Canucks,Byron Bitz,activated from IR,activated from IR,VAN
2012-01-12,Canucks,Aaron Rome,activated from IR,activated from IR,VAN
2012-01-15,Canucks,Andrew Ebbett,placed on IR with broken collarbone,torso,VAN
2012-02-18,Canucks,Keith Ballard,placed on IR with headaches,head,VAN
2012-03-31,Canucks,Andrew Ebbett,activated from IR,activated from IR,VAN
2012-04-13,Canucks,Keith Ballard,activated from IR,activated from IR,VAN
2013-01-15,Canucks,David Booth,placed on IR with strained groin,ul,VAN
2013-01-18,Canucks,Ryan Kesler,placed on IR with shoulder injury,torso,VAN
2013-01-19,Canucks,Steven Pinizzotto,placed on IR with groin injury,ul,VAN
2013-02-14,Canucks,Manny Malhotra,placed on IR with eye injury (out for season),head,VAN
2013-02-15,Canucks,Ryan Kesler,activated from IR,activated from IR,VAN
2013-02-19,Canucks,David Booth,activated from IR,activated from IR,VAN
2013-02-27,Canucks,Ryan Kesler,placed on IR with fractured right foot,ll,VAN
2013-03-17,Canucks,David Booth,placed on IR with left ankle injury (out for season),ll,VAN
2013-03-20,Canucks,Zack Kassian,placed on IR with back injury,torso,VAN
2013-03-28,Canucks,Dale Weise,placed on IR with shoulder injury,torso,VAN
2013-03-30,Canucks,Zack Kassian,activated from IR,activated from IR,VAN
2013-04-03,Canucks,Keith Ballard,placed on IR wtih fractured foot,ll,VAN
2013-04-06,Canucks,Dale Weise,activated from IR,activated from IR,VAN
2013-04-08,Canucks,Keith Ballard,activated from IR,activated from IR,VAN
2013-04-08,Canucks,Ryan Kesler,activated from IR,activated from IR,VAN
2013-09-30,Canucks,Jordan Schroeder,placed on IR with fractured left foot,ll,VAN
2013-10-01,Canucks,Nicklas Jensen,placed on IR with upper body injury,torso,VAN
2013-10-08,Canucks,Alexandre Burrows,placed on IR with fractured foot,ll,VAN
2013-10-15,Canucks,Jordan Schroeder,activated from IR,activated from IR,VAN
2013-10-19,Canucks,Jordan Schroeder,placed on IR with ankle injury,ll,VAN
2013-10-23,Canucks,Jannik Hansen,placed on IR with upper body injury,torso,VAN
2013-10-25,Canucks,Dale Weise,placed on IR with leg injury,ll,VAN
2013-10-28,Canucks,Alexandre Burrows,activated from IR,activated from IR,VAN
2013-10-30,Canucks,Nicklas Jensen,activated from IR,activated from IR,VAN
2013-11-17,Canucks,Jannik Hansen,activated from IR,activated from IR,VAN
2013-11-19,Canucks,Dale Weise,activated from IR,activated from IR,VAN
2013-12-06,Canucks,Alexandre Burrows,placed on IR with fractured jaw,head,VAN
